H,resample_min,move_pct,series_id,expiry,n_bars_all,n_bars_active,n_bars_quiet,rr25_rmse_carry_all,rr25_rmse_rough_all,bf25_rmse_carry_all,bf25_rmse_rough_all,rr25_rmse_carry_active,rr25_rmse_rough_active,bf25_rmse_carry_active,bf25_rmse_rough_active,rr25_rmse_carry_quiet,rr25_rmse_rough_quiet,bf25_rmse_carry_quiet,bf25_rmse_rough_quiet,verdict
0.1,30,0.2,front,front,26,5,21,0.0011184751281038722,0.002014962252403786,0.0021420895668371074,0.003226618389311104,,,,,0.0013775217131663906,0.00210912806359608,0.0027513353492151674,0.0038310964067443045,SKIP
0.1,30,0.2,mid,mid,26,5,21,0.0010971358302166328,0.001478605888164218,0.0005268973423375054,0.0006488390265782461,,,,,0.0014651395540158185,0.0017011047246259996,0.0005473318905006258,0.0006478245059008474,SKIP
0.1,30,0.2,ALL,ALL,52,10,42,,,,,,,,,0.0014213306335911047,0.0019051163941110397,0.0016493336198578966,0.002239460456322576,SKIP
