H,resample_min,move_pct,series_id,expiry,n_bars_all,n_bars_active,n_bars_quiet,rr25_rmse_carry_all,rr25_rmse_rough_all,bf25_rmse_carry_all,bf25_rmse_rough_all,rr25_rmse_carry_active,rr25_rmse_rough_active,bf25_rmse_carry_active,bf25_rmse_rough_active,rr25_rmse_carry_quiet,rr25_rmse_rough_quiet,bf25_rmse_carry_quiet,bf25_rmse_rough_quiet,verdict
0.03,1,0.1,front,front,32558,3256,29302,0.0008002284707449096,0.006634040517976014,0.0014270973953352038,0.0036495336723200086,0.002121331863838569,0.008183962721189578,0.0027186497080850646,0.0035056567025859827,0.0006831329107785103,0.00625436352621128,0.0013370756641800392,0.0034909395868346622,FAIL
0.03,1,0.1,mid,mid,32558,3256,29302,0.0005070159861209895,0.00610552338462778,0.0005385810469372615,0.002668663732634528,0.0013998593832357728,0.0070970590436905765,0.0009502714727595808,0.002893926189950051,0.0004699854511165514,0.005862852615739264,0.00048751962722949133,0.0024216064220253034,FAIL
0.03,1,0.1,ALL,ALL,65116,6512,58604,,,,,0.001760595623537171,0.007640510882440077,0.0018344605904223226,0.003199791446268017,0.0005765591809475309,0.006058608070975273,0.0009122976457047652,0.002956273004429983,FAIL
0.03,1,0.2,front,front,32558,6512,26046,0.0008002284707449096,0.006634040517976014,0.0014270973953352038,0.0036495336723200086,0.001569115502566701,0.007783772774073879,0.0022998985391368717,0.0035575805368868816,0.0006929596701020825,0.006086147969154005,0.0013348737874580199,0.0034365844292657995,FAIL
0.03,1,0.2,mid,mid,32558,6512,26046,0.0005070159861209895,0.00610552338462778,0.0005385810469372615,0.002668663732634528,0.0010088294023383796,0.006845373750105497,0.0008242025159279681,0.00288835279454639,0.0005006727675152204,0.0057574502293569136,0.00048496894498026755,0.0023148397964988868,FAIL
0.03,1,0.2,ALL,ALL,65116,13024,52092,,,,,0.0012889724524525403,0.007314573262089688,0.0015620505275324198,0.0032229666657166357,0.0005968162188086514,0.00592179909925546,0.0009099213662191437,0.002875712112882343,FAIL
0.03,1,0.3,front,front,32558,9767,22791,0.0008002284707449096,0.006634040517976014,0.0014270973953352038,0.0036495336723200086,0.0013071417391958449,0.007453928929497953,0.0020598202394524886,0.003580334363186527,0.0007217491375150997,0.005995958570916267,0.0013478349687319213,0.0034170000189434556,FAIL
0.03,1,0.3,mid,mid,32558,9767,22791,0.0005070159861209895,0.00610552338462778,0.0005385810469372615,0.002668663732634528,0.0008393360942189122,0.00668882369165974,0.0007752342755406885,0.00288950393544125,0.0005398421480530088,0.0056754805836197785,0.00047489987828730636,0.002261060776674378,FAIL
0.03,1,0.3,ALL,ALL,65116,19534,45582,,,,,0.0010732389167073786,0.007071376310578846,0.0014175272574965885,0.0032349191493138887,0.0006307956427840542,0.005835719577268023,0.0009113674235096138,0.002839030397808917,FAIL
0.03,5,0.1,front,front,6590,659,5931,0.001139109870451985,0.00666180234451554,0.0018707762813186953,0.003618111281004502,0.003329303226574671,0.00859759034553482,0.0033914129497112917,0.0034175404703997605,0.001264493695356359,0.006305570570661017,0.001746399475448936,0.0034870311727551173,FAIL
0.03,5,0.1,mid,mid,6590,659,5931,0.0008403039315417194,0.006130022549144891,0.0005589159514344036,0.002656052894751862,0.002701367266487296,0.007195064383991738,0.0007096600798456211,0.0027946968926837214,0.0009359596868601339,0.005920337793925694,0.0005541130514447414,0.002434328125875588,FAIL
0.03,5,0.1,ALL,ALL,13180,1318,11862,,,,,0.003015335246530983,0.007896327364763278,0.0020505365147784563,0.003106118681541741,0.0011002266911082465,0.006112954182293355,0.0011502562634468387,0.0029606796493153527,FAIL
0.03,5,0.2,front,front,6590,1318,5272,0.001139109870451985,0.00666180234451554,0.0018707762813186953,0.003618111281004502,0.00241791776880437,0.0079574839720669,0.002999150195420318,0.00353717248086109,0.001223442263076414,0.006124016644046216,0.0017142605901494603,0.0034174884345993715,FAIL
0.03,5,0.2,mid,mid,6590,1318,5272,0.0008403039315417194,0.006130022549144891,0.0005589159514344036,0.002656052894751862,0.0018995742562081192,0.006742573046764824,0.000676081824647023,0.002801167565990308,0.0009571881148041355,0.005856073549199682,0.0005438531435508024,0.0023250434794125758,FAIL
0.03,5,0.2,ALL,ALL,13180,2636,10544,,,,,0.0021587460125062448,0.007350028509415862,0.0018376160100336703,0.0031691700234256987,0.0010903151889402748,0.005990045096622949,0.0011290568668501314,0.0028712659570059736,FAIL
0.03,5,0.3,front,front,6590,1977,4613,0.001139109870451985,0.00666180234451554,0.0018707762813186953,0.003618111281004502,0.001941798005026321,0.007547851044925715,0.0027506565072966606,0.0035275653379394454,0.0013212719289516124,0.006005216868124389,0.001734816792245452,0.003421445369371797,FAIL
0.03,5,0.3,mid,mid,6590,1977,4613,0.0008403039315417194,0.006130022549144891,0.0005589159514344036,0.002656052894751862,0.0015102523696400244,0.006635657483083004,0.0006870026960693608,0.0028536723977076787,0.0010342384498504718,0.005759430366865288,0.0005270553499987091,0.0022566852361549025,FAIL
0.03,5,0.3,ALL,ALL,13180,3954,9226,,,,,0.0017260251873331728,0.007091754264004359,0.0017188296016830108,0.0031906188678235622,0.001177755189401042,0.005882323617494838,0.0011309360711220806,0.00283906530276335,FAIL
0.03,15,0.1,front,front,2218,222,1996,0.0018378289655087343,0.006752628922440096,0.0022920539250333126,0.0035550974325625913,0.005625534203188367,0.009014174190825201,0.0036696638699184447,0.0033364739837519197,0.0020847285259801784,0.006434932381569689,0.002104989796925342,0.0034339276057488944,PASS
0.03,15,0.1,mid,mid,2218,222,1996,0.0014642863752958267,0.00619493845036545,0.0005794298315933834,0.002626111600362021,0.004569177969434919,0.007531494418407505,0.0007284027076743491,0.0027194211120715127,0.0016940687013186032,0.006027899382389912,0.0005742966364205625,0.0023904189479818155,FAIL
0.03,15,0.1,ALL,ALL,4436,444,3992,,,,,0.005097356086311643,0.008272834304616353,0.002199033288796397,0.0030279475479117164,0.0018893986136493909,0.0062314158819798005,0.0013396432166729523,0.002912173276865355,FAIL
0.03,15,0.2,front,front,2218,444,1774,0.0018378289655087343,0.006752628922440096,0.0022920539250333126,0.0035550974325625913,0.0040746249733810014,0.007996023733042193,0.003525734555578502,0.0033303825645674854,0.002154153622734374,0.0064284578872948256,0.0021059508293505744,0.003404269958050953,PASS
0.03,15,0.2,mid,mid,2218,444,1774,0.0014642863752958267,0.00619493845036545,0.0005794298315933834,0.002626111600362021,0.003328019313439435,0.0069306507395408634,0.0006501315201045112,0.0027273545437233667,0.001750220422218381,0.005953740920557033,0.0005815749286739312,0.002292114885140608,FAIL
0.03,15,0.2,ALL,ALL,4436,888,3548,,,,,0.0037013221434102185,0.0074633372362915285,0.0020879330378415066,0.0030288685541454263,0.0019521870224763773,0.006191099403925929,0.0013437628790122528,0.0028481924215957802,FAIL
0.03,15,0.3,front,front,2218,665,1553,0.0018378289655087343,0.006752628922440096,0.0022920539250333126,0.0035550974325625913,0.0032305784584116433,0.007606598012230591,0.003293714084051313,0.003366446777812714,0.002217324852131127,0.006342288555687667,0.0021201376974006253,0.003419903539734334,FAIL
0.03,15,0.3,mid,mid,2218,665,1553,0.0014642863752958267,0.00619493845036545,0.0005794298315933834,0.002626111600362021,0.002631004903913818,0.0067886087645575195,0.0006243763655122943,0.00275467339462417,0.0018797368020338978,0.005897001579270085,0.0005779757400136272,0.0022209474602929323,FAIL
0.03,15,0.3,ALL,ALL,4436,1330,3106,,,,,0.0029307916811627307,0.007197603388394055,0.001959045224781804,0.003060560086218442,0.0020485308270825125,0.006119645067478876,0.0013490567187071263,0.002820425500013633,FAIL
0.03,30,0.1,front,front,1109,111,998,0.0025553037329455516,0.0068794672978564975,0.0024914032372503254,0.003548775899986678,0.008050217427392552,0.010272042716504776,0.003027361327694999,0.0031422851912678313,0.0027404346144353285,0.006664702760091795,0.002456122451572465,0.003466132155531096,FAIL
0.03,30,0.1,mid,mid,1109,111,998,0.002109553118170596,0.00629072416710089,0.0006314269707938344,0.002626633671269204,0.006826689388928528,0.008254658078689367,0.0008372052743896279,0.0029476281786454395,0.002292452542349156,0.006195056870670041,0.000631740723440492,0.002393458321262745,FAIL
0.03,30,0.1,ALL,ALL,2218,222,1996,,,,,0.0074384534081605395,0.009263350397597072,0.0019322833010423134,0.0030449566849566354,0.0025164435783922422,0.0064298798153809185,0.0015439315875064785,0.0029297952383969205,FAIL
0.03,30,0.2,front,front,1109,222,887,0.0025553037329455516,0.0068794672978564975,0.0024914032372503254,0.003548775899986678,0.0055128468645953485,0.008709147019691223,0.0032785928638108413,0.0030064277200101044,0.0027561703915032682,0.006379314672017405,0.0024587784034768288,0.0034459881902714506,PASS
0.03,30,0.2,mid,mid,1109,222,887,0.002109553118170596,0.00629072416710089,0.0006314269707938344,0.002626633671269204,0.004716205666785325,0.0074676428124873465,0.0007429444587978019,0.0028310911074622275,0.0023478343678396026,0.006027863480923104,0.0006362970271039392,0.0022299258877972266,FAIL
0.03,30,0.2,ALL,ALL,2218,444,1774,,,,,0.005114526265690337,0.008088394916089285,0.0020107686613043217,0.002918759413736166,0.002552002379671435,0.006203589076470254,0.001547537715290384,0.0028379570390343386,FAIL
0.03,30,0.3,front,front,1109,333,776,0.0025553037329455516,0.0068794672978564975,0.0024914032372503254,0.003548775899986678,0.004577648759726216,0.008265909954770981,0.003315047525648056,0.0032009360553435927,0.0028903833076869404,0.0062414624287556114,0.0023827398308289287,0.003430407169949752,PASS
0.03,30,0.3,mid,mid,1109,333,776,0.002109553118170596,0.00629072416710089,0.0006314269707938344,0.002626633671269204,0.003940851117175103,0.007141834034352398,0.0006661623719511661,0.0027039642992898456,0.002453707659269658,0.005968839330306911,0.0006485627092524834,0.002254017413309998,FAIL
0.03,30,0.3,ALL,ALL,2218,666,1552,,,,,0.00425924993845066,0.007703871994561689,0.001990604948799611,0.002952450177316719,0.002672045483478299,0.006105150879531261,0.0015156512700407062,0.002842212291629875,FAIL
0.03,60,0.1,front,front,600,60,540,0.0032374087786361375,0.007033047290192755,0.0029275016768090215,0.0034983364342198943,0.0097527664653066,0.010920457313022476,0.003406234324503907,0.003283800244813027,0.0036503040156819063,0.006964822584720236,0.0028805019214856,0.0034007074303696334,PASS
0.03,60,0.1,mid,mid,600,60,540,0.0028194163654275623,0.006420366729866005,0.0006790203423088825,0.0026543519831156224,0.009358802609767073,0.009179756197422994,0.0010738830809134629,0.00249183418907196,0.0031868160900020057,0.006472463621274915,0.0006773642508245394,0.0024946681524976554,PASS
0.03,60,0.1,ALL,ALL,1200,120,1080,,,,,0.009555784537536836,0.010050106755222735,0.002240058702708685,0.0028878172169424935,0.003418560052841956,0.006718643102997576,0.0017789330861550695,0.0029476877914336444,FAIL
0.03,60,0.2,front,front,600,120,480,0.0032374087786361375,0.007033047290192755,0.0029275016768090215,0.0034983364342198943,0.007354241844287414,0.008914640198853888,0.0033721990816991624,0.0031881419135077055,0.0035408450132320426,0.0068583013105434285,0.002749929513422406,0.0033540906776410593,PASS
0.03,60,0.2,mid,mid,600,120,480,0.0028194163654275623,0.006420366729866005,0.0006790203423088825,0.0026543519831156224,0.006717341012091284,0.008145933919517569,0.000857463470863157,0.0026359412338531098,0.0031809180261436303,0.006339291541813818,0.0006817040085173236,0.002330993467356908,FAIL
0.03,60,0.2,ALL,ALL,1200,240,960,,,,,0.007035791428189349,0.008530287059185728,0.0021148312762811596,0.0029120415736804076,0.0033608815196878366,0.006598796426178623,0.0017158167609698648,0.0028425420724989834,FAIL
0.03,60,0.3,front,front,600,180,420,0.0032374087786361375,0.007033047290192755,0.0029275016768090215,0.0034983364342198943,0.005792574673285223,0.008341340864686684,0.003665406566365504,0.0033197680296637947,0.003386246878919012,0.006507979911061031,0.0026677920520421523,0.003225596039730122,PASS
0.03,60,0.3,mid,mid,600,180,420,0.0028194163654275623,0.006420366729866005,0.0006790203423088825,0.0026543519831156224,0.005222995153253472,0.007629812312080447,0.0007409342975406092,0.0026910134717503527,0.002949794511606203,0.006052916976245981,0.0006670757724942848,0.0021223284688513494,FAIL
0.03,60,0.3,ALL,ALL,1200,360,840,,,,,0.005507784913269347,0.007985576588383565,0.0022031704319530566,0.003005390750707074,0.0031680206952626076,0.0062804484436535055,0.0016674339122682185,0.0026739622542907354,FAIL
0.03,120,0.1,front,front,331,33,298,0.004590922454067345,0.007524174477311287,0.0030537130172378626,0.003326744207418914,0.012628363319872375,0.012613272788788344,0.0033540267268455954,0.0037744470014763574,0.0044206853160129655,0.007229621133551353,0.0030531213984611163,0.003167798364194176,PASS
0.03,120,0.1,mid,mid,331,33,298,0.003974077433974625,0.006716621804977591,0.0007320008641900138,0.0026979847660284426,0.011391741209597342,0.010542121227855741,0.0009239935981669437,0.0028490367634994274,0.0038008559720308257,0.006484703507166172,0.0007273946131542856,0.0024291028551226114,PASS
0.03,120,0.1,ALL,ALL,662,66,596,,,,,0.01201005226473486,0.011577697008322042,0.0021390101625062695,0.0033117418824878926,0.004110770644021895,0.006857162320358762,0.001890258005807701,0.0027984506096583937,PASS
0.03,120,0.2,front,front,331,66,265,0.004590922454067345,0.007524174477311287,0.0030537130172378626,0.003326744207418914,0.009259555515060584,0.01017500906087405,0.003791806862349391,0.0037073615247890145,0.004626459226612784,0.007165652175879165,0.0028710718727455267,0.0030857876771725437,PASS
0.03,120,0.2,mid,mid,331,66,265,0.003974077433974625,0.006716621804977591,0.0007320008641900138,0.0026979847660284426,0.008717272895303045,0.008751259785012299,0.0009113654851600823,0.0026934829907314215,0.0038981821300430666,0.006461776067092315,0.0007353696303989619,0.0023519471257379505,FAIL
0.03,120,0.2,ALL,ALL,662,132,530,,,,,0.008988414205181814,0.009463134422943175,0.002351586173754737,0.003200422257760218,0.004262320678327925,0.00681371412148574,0.0018032207515722442,0.0027188674014552473,FAIL
0.03,120,0.3,front,front,331,99,232,0.004590922454067345,0.007524174477311287,0.0030537130172378626,0.003326744207418914,0.007953322965478843,0.00951403701909071,0.003685293980026663,0.0032632467475675873,0.004844204064854508,0.0070974258624494765,0.0028425084413359935,0.003211284395401698,PASS
