H,resample_min,move_pct,series_id,expiry,n_bars_all,n_bars_active,n_bars_quiet,rr25_rmse_carry_all,rr25_rmse_rough_all,bf25_rmse_carry_all,bf25_rmse_rough_all,rr25_rmse_carry_active,rr25_rmse_rough_active,bf25_rmse_carry_active,bf25_rmse_rough_active,rr25_rmse_carry_quiet,rr25_rmse_rough_quiet,bf25_rmse_carry_quiet,bf25_rmse_rough_quiet,verdict
0.1,120,0.1,front,front,331,33,298,0.004590922454067345,0.007534945580995,0.0030537130172378626,0.003326364645814813,0.012020124759375231,0.013350287989761955,0.0029386584327345698,0.004469837703525034,0.0027137978832799344,0.006578786275057618,0.0030662303771569004,0.0031739839751995726,FAIL
0.1,120,0.1,mid,mid,331,33,298,0.003974077433974625,0.006637546197759354,0.0007320008641900138,0.0027101299457783484,0.010517905919818249,0.009918333026397642,0.0007125894513788206,0.00465408018780134,0.002292659047533033,0.006166187956656729,0.0007341260053464104,0.0023987862865198347,PASS
0.1,120,0.1,ALL,ALL,662,66,596,,,,,0.01126901533959674,0.011634310508079799,0.0018256239420566952,0.004561958945663187,0.002503228465406484,0.006372487115857173,0.0019001781912516553,0.002786385130859704,FAIL
