H,resample_min,expiry,n_bars,rr25_rmse_carry,rr25_dir_carry,rr25_rmse_rough,rr25_dir_rough,rr25_rmse_ar1,rr25_dir_ar1,bf25_rmse_carry,bf25_dir_carry,bf25_rmse_rough,bf25_dir_rough,bf25_rmse_ar1,bf25_dir_ar1,atm_total_var_rmse_carry,atm_total_var_dir_carry,atm_total_var_rmse_rough,atm_total_var_dir_rough,atm_total_var_rmse_ar1,atm_total_var_dir_ar1,rr25_resid_acf,rr25_resid_pval,bf25_resid_acf,bf25_resid_pval,alpha_mean,alpha_cv,gamma_mean,gamma_cv,verdict
0.03,1,2025-08-14,381.0,0.00034538513487685207,0.5910290237467019,0.0006374731156761497,0.5699208443271768,0.00034634798871385704,0.6147757255936676,0.0007481068113803819,0.5778364116094987,0.0006990889177545584,0.6569920844327177,0.00062198634327819,0.6701846965699209,5.4010970900706985e-06,0.506631299734748,5.4010970900706985e-06,0.506631299734748,5.401534675519522e-06,0.5211640211640212,0.759825597470229,1.7070428423278103e-72,0.38828120587952014,4.366363890036447e-15,-0.04047300473382108,0.017574557374352852,0.2555573161298834,0.20080672397921584,PASS
0.03,1,2025-08-15,762.0,0.0008018948980504509,0.6044973544973545,0.0030415609769334304,0.5369393139841688,0.0008046162670160615,0.6055408970976254,0.0007041376527815932,0.5947368421052631,0.000678680179233677,0.625,0.000612407073235142,0.6368421052631579,6.385035299876263e-06,0.526595744680851,6.385035299876263e-06,0.526595744680851,6.437585321054419e-06,0.5152317880794702,0.9279265189922771,0.0,0.4461091453835434,1.9240972395952573e-38,-0.042297960397116155,0.07716515757738877,0.2668547317183668,0.2008575953881789,MARGINAL
0.03,1,2025-08-18,762.0,0.0003039643511748446,0.6097883597883598,0.005598167150180855,0.5065963060686016,0.00030372082843453907,0.6015831134564644,0.00044443345962964217,0.5593667546174143,0.0007053117858510856,0.5836627140974967,0.00041472240432661534,0.6007905138339921,2.8255346382210557e-06,0.5200534759358288,2.8255346382210557e-06,0.5200534759358288,2.841005462632091e-06,0.5092838196286472,0.9907866950904464,0.0,0.7379398798364242,1.38225806466876e-131,-0.04366907108557102,0.13182283435202014,0.29462581336000593,0.22078795586657052,FAIL
0.03,1,2025-08-19,762.0,0.00030262433852726225,0.6153846153846154,0.0015692603412920851,0.4914134742404227,0.0003041693674620334,0.6150793650793651,0.00047294368971799553,0.5915119363395226,0.000766041163436568,0.607661822985469,0.00043643633348628157,0.6150793650793651,5.286916272180517e-06,0.5297297297297298,5.286916272180517e-06,0.5297297297297298,5.400682837444538e-06,0.5040106951871658,0.9399691968394246,0.0,0.79096055595401,7.072479352287768e-164,-0.04044499685528402,0.05543226933841161,0.3164345311837263,0.27369978645376486,FAIL
0.03,1,2025-08-20,762.0,0.00024101803651326752,0.5963060686015831,0.0023976175475170056,0.5098814229249012,0.0002432910087426323,0.5915678524374176,0.0005573604909120119,0.600263852242744,0.0006265038641050393,0.6073781291172595,0.0004987534652796831,0.5849802371541502,3.209266234492711e-06,0.5190217391304348,3.209266234492711e-06,0.5190217391304348,3.255176287976034e-06,0.5160857908847185,0.9818326677415506,0.0,0.5771744590320136,1.025741986646298e-68,-0.039253413865466366,0.08464999036994131,0.3704829826737083,0.21081478855819355,FAIL
0.03,1,2025-08-21,381.0,0.00022377572976431956,0.5809018567639257,0.0005766483891958839,0.5661375661375662,0.00022436639269440454,0.5873015873015873,0.0005185874895014954,0.6068601583113457,0.0005454236749043022,0.6015831134564644,0.00045948929960763557,0.6253298153034301,2.6746466136975547e-06,0.5444743935309974,2.6746466136975547e-06,0.5444743935309974,2.7064617918436485e-06,0.5267379679144385,0.8721353588136296,4.2714070156044914e-119,0.561862613227686,6.406474494821364e-33,-0.039873034481858895,0.021762700182064443,0.3837666485971676,0.18321044782588564,FAIL
0.03,1,ALL,635.0,0.0003697770814844995,0.5996512131304234,0.002303454586799235,0.5301481546138062,0.0003710853088439213,0.6026414234943546,0.0005742615989871866,0.5884293258709646,0.0006701749308808718,0.6137129773482345,0.000507299153202258,0.6222011222006693,4.2970826914231335e-06,0.5244177304570982,4.2970826914231335e-06,0.5244177304570982,4.340407729411708e-06,0.5154190138097435,0.9120793391579262,2.845071403879684e-73,0.5837213098855328,7.277273150060745e-16,-0.04100191356985292,0.06473458486569651,0.31462033727714306,0.21502954967863486,FAIL
0.03,5,2025-08-14,77.0,0.0006589558261878565,0.5066666666666667,0.0007506236147188634,0.56,0.0006634473522251893,0.49333333333333335,0.0008847447162686453,0.68,0.0006765579482378213,0.7333333333333333,0.0007815805851747135,0.7066666666666667,9.773261878867337e-06,0.5066666666666667,9.773261878867337e-06,0.5066666666666667,9.664683823193392e-06,0.5466666666666666,0.4206275111434474,0.00017165082085872412,0.017307837288255953,0.8828291487803603,-0.040398963295031405,0.018735596625388037,0.2527874976091742,0.19278257470095544,PASS
0.03,5,2025-08-15,154.0,0.0011332716282288157,0.6842105263157895,0.0031310830727162195,0.5526315789473685,0.0011597242695234032,0.6644736842105263,0.0008986247756992903,0.631578947368421,0.0006841968917250691,0.7105263157894737,0.0007351733168356686,0.7171052631578947,1.2110699230949142e-05,0.46710526315789475,1.2110699230949142e-05,0.46710526315789475,1.2407186357577846e-05,0.4605263157894737,0.8595832568566707,1.3818722177031396e-45,0.11220010222827376,0.1687515629151715,-0.04219930430487321,0.07851531967980947,0.26861801621528436,0.19932134146331396,PASS
0.03,5,2025-08-18,154.0,0.0005783229963604953,0.5526315789473685,0.005597465297684307,0.506578947368421,0.0005842601357837385,0.5328947368421053,0.0006412099063393464,0.625,0.0006861578780454735,0.6973684210526315,0.0005889202541266166,0.6776315789473685,5.38751361975479e-06,0.45394736842105265,5.38751361975479e-06,0.45394736842105265,5.506933114860976e-06,0.4342105263157895,0.9574466312413055,7.561145150906121e-83,0.3889274168218081,7.352674413173831e-07,-0.04363834422779449,0.1315767503578181,0.2924866905160378,0.21896660657433253,FAIL
