H,dte_min,dte_max,dte_window,subperiod,subperiod_start,subperiod_end,n_dates,n_records,n_ts_total,n_ts_fitted,beta_mean,beta_std,beta_median,beta_p5,beta_p95,beta_cv,r2_mean,r2_median,mean_n_exp,theory_beta,frac_consistent,verdict,status,coverage,beta_gap,implied_h
0.1,7,60,7-60,full,2025-08-07,2025-08-11,3,13715,1143,1143,0.3187701458843539,0.034615159041920474,0.3210512304757797,0.26667325408854003,0.37685063688606096,0.10858971421520275,0.9751248252872524,0.9723150924024102,11.99912510936133,0.1,0.0,WEAK — partial evidence,WEAK,1.0,0.2210512304757797,0.3210512304757797
0.1,14,30,14-30,full,2025-08-07,2025-08-11,3,3809,1143,1143,0.30797000001787683,0.05991468034063252,0.31544461894860426,0.2150107649104949,0.39642732458517294,0.19454713230884382,0.9501995238560383,0.9457390346024325,3.332458442694663,0.1,0.00699912510936133,WEAK — partial evidence,WEAK,1.0,0.21544461894860426,0.31544461894860426
0.1,7,60,7-60,first_half,2025-08-07,2025-08-07,1,4571,381,381,0.28001336679982325,0.011887180413512057,0.28065017606644893,0.2594850707923409,0.30097827816314776,0.04245218915570555,0.9702412006794071,0.9703847242087477,11.99737532808399,0.1,0.0,WEAK — partial evidence,WEAK,1.0,0.18065017606644893,0.28065017606644893
0.1,14,30,14-30,first_half,2025-08-07,2025-08-07,1,1523,381,381,0.23426721680199905,0.018107041943459603,0.23433162611684927,0.2058784574792245,0.26955619947661935,0.07729225706712324,0.9447510267576059,0.945028974683697,3.9973753280839897,0.1,0.02099737532808399,WEAK — partial evidence,WEAK,1.0,0.13433162611684926,0.23433162611684927
0.1,7,60,7-60,second_half,2025-08-08,2025-08-11,2,9144,762,762,0.33814853542661916,0.02449684429470761,0.3399438751181782,0.29527758645463,0.37928319615607503,0.07244403487893744,0.977566637591175,0.9811488424269337,12.0,0.1,0.0,WEAK — partial evidence,WEAK,1.0,0.2399438751181782,0.3399438751181782
0.1,14,30,14-30,second_half,2025-08-08,2025-08-11,2,2286,762,762,0.3448213916258157,0.03386215743546419,0.345721308783567,0.29342705688259046,0.3986788119934385,0.09820202069194664,0.9529237724052546,0.9656633564734114,3.0,0.1,0.0,WEAK — partial evidence,WEAK,1.0,0.245721308783567,0.345721308783567
